spname,name,invasive
MYRIOPHYLLUM SPICATUM,Myriophyllum spicatum L.,yes 
STUCKENIA PECTINATA,Potamogeton pectinatus L.,no
NYMPHAEA ODORATA ,Nuphar and Nymphaea spp.,no
POTAMOGETON NATANS,Potamogeton natans L.,no
POTAMOGETON NODOSUS,Potamogeton nodosus Poir.,no
CERATOPHYLLUM DEMERSUM,Ceratophyllum demersum L.,no
ELODEA CANADENSIS,Elodea canadensis ,no
HETERANTHERA DUBIA,Heteranthera dubia ,no
POTAMOGETON CRISPUS,Potamogeton crispus L.,yes 
POTAMOGETON ZOSTERIFORMIS,Potamogeton zosteriformis Fernald.,no
NAJAS FLEXILIS,Najasflexilis Rostk. & Schmidt,no
POTAMOGETON FOLIOSUS,Potamogeton foliosus Raf.,no
POTAMOGETON RICHARDSONII,Potamogeton richardsonii Rydb.,no
CHARA SP,Chara spp.,no
MYRIOPHYLLUM SIBIRICUM,Myriophyllum sibiricum ,no
POTAMOGETON ILLINOENSIS,Potamogeton illinoensis ,no
VALLISNERIA AMERICANA,Vallisneria americana ,no